score,model,date_function,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_xgb_logit,date_rw2_creator_source,rw2,188,-0.22784834051763764,-0.5938836933040901,0.1257125051322717,3.257814569466618,-0.06993901453235316,-0.18229511859581468,0.038587986655377327,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,196.5,-0.20568356543421284,-0.5698278583246152,0.1484852029286885,3.257814569466618,-0.06313544280940708,-0.17491107801691416,0.04557816283355841,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,197,-0.18347140317431113,-0.5458488475482084,0.17144427019800854,3.257814569466618,-0.05631732539165044,-0.16755061895299242,0.05262554591192649,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,197.5,-0.16122101475651826,-0.5219564995566993,0.19457570351354722,3.257814569466618,-0.04948747429259425,-0.16021676139847213,0.05972583747926571,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,200,-0.13893933275081236,-0.49815706025270257,0.21786737141209198,3.257814569466618,-0.04264801749399753,-0.15291142255965254,0.0668753137314878,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,200.5,-0.11663600673675388,-0.47445982303790946,0.24130245136043532,3.257814569466618,-0.035801916975234716,-0.14563745508560047,0.07406881092067259,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,201,-0.09432186341282396,-0.4508745692231703,0.2648609638875561,3.257814569466618,-0.02895249603732563,-0.1383978613911685,0.08130019626344791,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,205,-0.07200201749117013,-0.4274033064858703,0.2885301781662563,3.257814569466618,-0.02210132466285783,-0.1311932577414455,0.088565561978408,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,205.5,-0.04967982969767756,-0.40404584895255286,0.3122997308694969,3.257814569466618,-0.015249434440896166,-0.12402358708178557,0.09586172699836254,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,206.5,-0.027358832497384463,-0.380802159639035,0.336158854039338,3.257814569466618,-0.008397909676566938,-0.1168888380597369,0.10318538605294997,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,207,-0.0050477614200108165,-0.3576781853187321,0.36008857851522336,3.257814569466618,-0.0015494317777691243,-0.10979083606262235,0.11053071647788058,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,208,0.01724691188918462,-0.3346768886924315,0.38407309787973026,3.257814569466618,0.005294012756535849,-0.10273049050401481,0.1178928664262841,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,208.5,0.03951799569794454,-0.31180168469743025,0.4080951494353026,3.257814569466618,0.012130216393628131,-0.09570884961340191,0.1252665370399266,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,209,0.06175870635408515,-0.2890549914631476,0.43213762005416245,3.257814569466618,0.01895709686269729,-0.08872665564586532,0.1326464753716519,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,210.5,0.08396465410463134,-0.2664364874747917,0.4561873927729869,3.257814569466618,0.025773306710448644,-0.08178380991107598,0.14002865511393292,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,211.5,0.1061310586969135,-0.2439461714398662,0.4802308243916911,3.257814569466618,0.032577378618049976,-0.07488031201229664,0.1474088884286365,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,225,0.12825561570634733,-0.22158153084884408,0.504258878157457,3.257814569466618,0.039368605232601016,-0.06801539072407128,0.15478440144615602,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,230,0.15033640368420445,-0.1993398729614519,0.5282638076370507,3.257814569466618,0.046146396757264826,-0.0611882194983518,0.16215281636595422,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,237.5,0.17237112032675117,-0.17721885131534612,0.552237399742083,3.257814569466618,0.05291004649014521,-0.054398078078569424,0.16951161214571442,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,240,0.1943568140131177,-0.15521676763845715,0.5761705391725234,3.257814569466618,0.059658648418696995,-0.04764444517290922,0.1768579908054301,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,250,0.21628975190973648,-0.13333270856736454,0.6000529842357502,3.257814569466618,0.06639105673382395,-0.04092704042059529,0.18418880861411124,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,251,0.2381687825294496,-0.11156338860797188,0.6238795302461353,3.257814569466618,0.07310691798165894,-0.03424485532527945,0.19150246797142884,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,257.5,0.25999436072595905,-0.08990350330485884,0.6476470917513312,3.257814569466618,0.07980637178147507,-0.027596261661871745,0.19879802178469796,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,259,0.28176975430790624,-0.06834554908219244,0.6713583988458329,3.257814569466618,0.08649042120099508,-0.02097895617594412,0.20607630806800348,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,260,0.30349896850563396,-0.046881701435697753,0.6950180004897079,3.257814569466618,0.09316029566266075,-0.014390537102722027,0.21333872314393232,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,275,0.32518383831745495,-0.025506376757351776,0.7186266621329072,3.257814569466618,0.09981655842698724,-0.007829290530040136,0.22058550197059357,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,279,0.3468252644193076,-0.004215110160573096,0.7421837620315289,3.257814569466618,0.10645948596027403,-0.0012938459420246285,0.22781645370105952,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,283.5,0.3684237808860502,0.016995998963415738,0.7656882981862807,3.257814569466618,0.11308924219906413,0.005216993969733025,0.23503127076739733,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,287.5,0.3899806287390528,0.03813115587669818,0.7891410703205491,3.257814569466618,0.11970620808013083,0.011704520028265808,0.2422301986480926,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,297.5,0.41149648575051884,0.0591938060570486,0.8125421794520913,3.257814569466618,0.1263105916485267,0.01816978983759043,0.24941326835097427,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,300,0.4329702096818152,0.08018577673081302,0.8358882213021912,3.257814569466618,0.1329020422892586,0.02461336427258392,0.25657943491825136,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,303.5,0.4544011102122635,0.10110913956204959,0.8591768240370424,3.257814569466618,0.13948034810546622,0.03103587923931581,0.26372797030547696,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,308,0.47578721629647724,0.12196508143385798,0.8824026076070235,3.257814569466618,0.1460449040764082,0.03743769905658767,0.27085722308360044,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,312,0.4971259068478211,0.14275412157571404,0.9055590642967905,3.257814569466618,0.15259490564842446,0.04381898310408941,0.2779651956817948,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,312.5,0.5184121920333566,0.1634747887890939,0.9286350412006095,3.257814569466618,0.1591288211711304,0.05017927979119408,0.2850484646683403,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,317.5,0.5396400620014672,0.18412480378497104,0.9516172671624583,3.257814569466618,0.16564480589508174,0.05651788948046747,0.29210295640560685,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,320.5,0.5608037245661541,0.20470204363953004,0.9744928583320864,3.257814569466618,0.1721410818842188,0.06283416053144014,0.29912471614111363,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,321.5,0.5819006665601218,0.2252067989994889,0.9972557401907792,3.257814569466618,0.17861687771118073,0.06912818215935496,0.30611187927557637,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,330,0.6029300710226319,0.24564052155600122,1.0199033852132289,3.257814569466618,0.18507194260640375,0.07540039996696879,0.31306366997438145,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,331.5,0.6238923719052663,0.2660054478439861,1.0424359317620202,3.257814569466618,0.19150640977316652,0.08165150046816125,0.31998013070851106,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,332,0.6447902425706595,0.2863053181604328,1.0648582434655074,3.257814569466618,0.19792109981146871,0.08788263176295753,0.3268627543893175,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,335.5,0.6656268526328829,0.30654402116746304,1.0871763962488474,3.257814569466618,0.2043169856477933,0.09409498749268949,0.33371340604779853,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,337.5,0.6864041888290395,0.3267243615343136,1.1093941624236046,3.257814569466618,0.21069467711952072,0.1002894285624753,0.34053324361098886,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,342,0.7071240424428243,0.3468488333405756,1.1315149177624328,3.257814569466618,0.21705472406877885,0.10646672054062396,0.34732330328662286,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,350,0.7277874617512082,0.36691927003778857,1.1535404634927022,3.257814569466618,0.2233974482686301,0.11262742621286208,0.3540841379690816,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,355,0.7483952740301105,0.38693722600175884,1.1754722715579429,3.257814569466618,0.22972310365492676,0.11877202270143622,0.3608161994776749,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,356,0.7689438880826177,0.406902254365804,1.1972994511827186,3.257814569466618,0.23603058789454434,0.12490037283872286,0.3675161448426898,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,359,0.7894284095123455,0.4268129336064551,1.2190081889822446,3.257814569466618,0.24231839863175322,0.13101204028206387,0.3741797339870775,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,360,0.8098428897077682,0.44666700631383494,1.2405823759675787,3.257814569466618,0.24858470991501483,0.13710633210992268,0.3808020221883567,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,364,0.830183903509176,0.46646396855327404,1.2620111426904745,3.257814569466618,0.25482847037702855,0.14318309363741513,0.38737967302328563,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,365,0.8504490379741652,0.4862039505401595,1.283285737502373,3.257814569466618,0.26104893935488904,0.14924236483470657,0.39391000013621935,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,368,0.8706355511741435,0.5058866568642432,1.304396914512285,3.257814569466618,0.26724527520198527,0.15528405502436834,0.4003901654617027,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,368.5,0.8907397143015803,0.52551084206131,1.3253336720612374,3.257814569466618,0.27341633334503,0.16130778190587708,0.4068167919938507,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,369.5,0.9107623293343149,0.5450783837733666,1.3460947580270728,3.257814569466618,0.27956235995452267,0.1673141218294106,0.41318949538845623,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,371,0.9307036966461185,0.5645905579398286,1.366678249829879,3.257814569466618,0.28568344723146627,0.17330346644998446,0.41950768550146084,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,371.5,0.9505630193580692,0.5840476980533418,1.3870800996288812,3.257814569466618,0.2917793505704958,0.17927591813458071,0.4257701198309698,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,372.5,0.970338693536206,0.6034492940695512,1.407294999725655,3.257814569466618,0.297849577637279,0.18523132032292133,0.43197516915643935,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,374,0.9900296991100263,0.6227950168655311,1.427319296096053,3.257814569466618,0.30389381531684834,0.19116957198932824,0.4381217118596591,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,375,1.0096345709834982,0.6420840487158859,1.4471486329745984,3.257814569466618,0.30991161389176286,0.19709042212952296,0.44420841091994107,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
