word1,word2,ppmi,cooc_n
castra,ferrum,0.8128311931994048,72
casus,periculum,0.8128311931994048,72
castra,casus,0.8128311931994048,72
auctoritas,filius,0.8127059393365016,58
imperator,metus,0.8125564972708078,51
mulier,uxor,0.8125307985878639,76
ciuis,ciuitas,0.8125099953758471,63
graeci,sermo,0.8124689789897953,53
imperator,suscipio,0.8122241057104932,47
auxilium,imperator,0.8120357995240784,45
prouincia,sententia,0.8120160462425638,56
paulus,prouincia,0.8120160462425638,49
appello,defendo,0.8119804913190922,75
senatus,socius,0.811925654847763,59
periculum,suscipio,0.8117713096873618,69
mars,saeuus,0.8117665646951078,57
premo,tellus,0.8116742243284512,78
acies,ingens,0.8116742243284512,65
reliquus,tertius,0.8111958698586742,65
consto,reliquus,0.8111958698586742,65
iniuria,respondeo,0.8110795479570677,74
orator,respondeo,0.8110795479570677,37
graeci,publicus,0.8110165459094804,48
claudo,semen,0.8106163528698522,66
auxilium,castra,0.8106163528698522,66
periculum,potestas,0.8104951334018573,73
facile,sententia,0.810391350515562,82
iniuria,socius,0.8103354080244284,65
aequor,flumen,0.8103339600595789,66
animal,efficio,0.8102398468413081,48
parum,prouincia,0.8100571817572308,68
exercitus,miles,0.8099617729645567,67
acies,motus,0.8096998900247336,69
appello,inimicus,0.8096444315215444,73
appello,sententia,0.8096444315215444,73
imperator,parum,0.8095975173041822,58
luna,saxum,0.8095499537473702,72
appello,uoluptas,0.8095031985575359,59
reliquus,singulus,0.8094984882678293,67
imperator,malo,0.8093529288230802,56
consul,graeci,0.8092292353353846,43
fatum,saeuus,0.8091397367193569,79
agmen,sedes,0.8090703086755212,69
consilium,orator,0.808807523846375,39
aequor,durus,0.8086882561498893,68
fatum,furor,0.8086664199432739,71
coepio,imperator,0.8085022269427674,50
scelus,telum,0.8084992023635239,82
dexter,numen,0.808144761465778,77
contineo,periculum,0.808109920583483,67
consilium,nauis,0.8079021367315624,69
exercitus,paulus,0.8078273004359242,54
imperator,sapio,0.8078123338488297,46
memoria,respondeo,0.8077781253480136,63
auctoritas,consilium,0.8076920747625091,56
animal,secundus,0.8076920747625091,56
animal,proximus,0.8075480551755965,53
copia,orator,0.8074205610720263,33
agmen,pugno,0.8073079547997379,55
agmen,furor,0.8073079547997379,55
iudicium,memoria,0.807281970537538,65
longe,periculum,0.8072184562944476,78
iuuenis,saeuus,0.8071390691630599,84
aequor,ira,0.8071390691630599,70
diuinus,oratio,0.8071390691630599,60
facile,sapio,0.8070215073940116,79
ciuitas,defendo,0.8068156613661132,67
animal,gigno,0.8067615824649833,41
iuppiter,mars,0.8066823902257814,61
equus,mars,0.8066823902257814,61
umbra,unda,0.8064662574576688,92
agmen,extremus,0.8063246705513891,57
oratio,sapio,0.8062766284024012,61
diuinus,iudico,0.8062614912217009,67
acies,diuinus,0.8062614912217009,67
iuuenis,tellus,0.8062614912217009,67
inimicus,uoluptas,0.8061076095563976,72
alienus,appello,0.8059014452427099,80
carmen,mars,0.8059014452427099,60
castra,motus,0.8056831999341177,68
murus,socius,0.8056421375926784,62
