word1,word2,word3,interaction_info,abs_interaction_info
homo,unus,uerbum,0.18019428985407682,0.18019428985407682
magnus,uir,ago,0.18019360653641364,0.18019360653641364
uolo,magnus,nomen,0.18017025992879185,0.18017025992879185
magnus,primus,credo,0.18014763470054698,0.18014763470054698
uenio,uir,ago,0.18010216714759644,0.18010216714759644
uenio,totus,terra,0.18005305883275058,0.18005305883275058
homo,magnus,primus,0.17995986626151,0.17995986626151
locus,tempus,credo,0.17984547521806551,0.17984547521806551
magnus,uenio,manus,0.1798104676726354,0.1798104676726354
uenio,uerbum,primus,0.17980455953528418,0.17980455953528418
dies,ago,uirtus,0.1797899001362266,0.1797899001362266
primus,totus,credo,0.17975840137726157,0.17975840137726157
magnus,nomen,ago,0.17972236995231042,0.17972236995231042
uolo,uenio,uir,0.17969385585850395,0.17969385585850395
unus,uir,bonus,0.17969150475203693,0.17969150475203693
locus,terra,manus,0.1796266804761587,0.1796266804761587
uenio,uerbum,bonus,0.17958520910083753,0.17958520910083753
unus,primus,manus,0.17956003445435795,0.17956003445435795
unus,nomen,uis,0.17950931386916674,0.17950931386916674
unus,uolo,credo,0.17949782149461407,0.17949782149461407
uolo,primus,bonus,0.1794832847034505,0.1794832847034505
uolo,magnus,tempus,0.1794559955172205,0.1794559955172205
uir,manus,credo,0.17942698089153253,0.17942698089153253
homo,unus,uir,0.1793969570659082,0.1793969570659082
nomen,totus,manus,0.17934534201390412,0.17934534201390412
ago,terra,bonus,0.17932277593561857,0.17932277593561857
tempus,primus,uis,0.17927865358752415,0.17927865358752415
homo,uolo,locus,0.1792671309656641,0.1792671309656641
magnus,ago,populus,0.17926691923059312,0.17926691923059312
uolo,magnus,bonus,0.17920137156678842,0.17920137156678842
uolo,uenio,uerbum,0.17902881227281314,0.17902881227281314
