word1,word2,ppmi,mi
ius,nox,0.4867171102194762,0.19032621965019292
iubeo,ius,0.4866427026893999,0.22635654960311058
debeo,rex,0.48633351704273103,0.1460077919974987
arma,quaero,0.4862141342678882,0.17916723265828605
audio,uerbum,0.4862058112766421,0.20808066728102848
filius,liber,0.4861259189518877,0.1353374522856905
locus,natura,0.48605266887943754,0.21899940313276645
malus,relinquo,0.48600934166101206,0.20968016920830834
uerus,uox,0.4856827547523016,0.22659560211569296
domus,loquor,0.48567278346490605,0.2436307129681765
credo,scio,0.4855941454748522,0.2326785143195016
fides,uirtus,0.4853574907034365,0.21052112872006834
