model,term,mu_all,mu_ch,mu_nc,mean_abs_contrib,n_present,n_present_ch,n_present_nc,present_rate,direction,z_mu_all,z_abs,rank_abs,rank_pos,rank_neg,side
ridge,daemon,0.18841279067255964,0.196798645839135,0.12132594933995645,0.18841279067255964,27,24,3,0.07458563535911603,christian,13.012105687629631,13.011482226847699,32,31,18506,christian
ridge,subuerto,0.18774605649625642,0.21421954272488888,0.12487152670325435,0.18774605649625642,27,19,8,0.07458563535911603,christian,12.965840573370118,12.965206246824014,33,32,18505,christian
ridge,spiritus,0.17692505581454232,0.23772066609861248,0.12288451333981311,0.17692505581454232,119,56,63,0.3287292817679558,christian,12.214964361027748,12.214153684677353,35,34,18503,christian
ridge,suesco,0.17248631146562868,0.19004027523010866,0.14791076219535676,0.17248631146562868,24,14,10,0.06629834254143646,christian,11.906957029515372,11.906074014966295,36,35,18502,christian
ridge,caro,0.17183927759294665,0.2176765217770957,0.11393960072875846,0.17183927759294665,86,48,38,0.23756906077348067,christian,11.862058932022624,11.861165372765145,37,36,18501,christian
ridge,lignum,0.1622405083090755,0.21441322726996742,0.11752103491402523,0.1622405083090755,78,36,42,0.2154696132596685,christian,11.195994144206738,11.194944153845109,39,38,18499,christian
ridge,euito,0.1574109658691195,0.2261555304052079,0.08866640133303112,0.1574109658691195,16,8,8,0.04419889502762431,christian,10.860869081254942,10.859740383859725,41,40,18497,christian
ridge,tortilis,0.1554383499583142,0.27897352143908,0.03190317847754843,0.1554383499583142,4,2,2,0.011049723756906077,christian,10.723987991688542,10.722827146579816,42,41,18496,christian
ridge,perennis,0.15159180275258924,0.1949595973568508,0.11635546963662666,0.15159180275258924,58,26,32,0.16022099447513813,christian,10.45707360166252,10.455850069389557,43,42,18495,christian
ridge,mundanus,0.1505613162908525,0.14654745574654746,0.16795471198284087,0.1505613162908525,16,13,3,0.04419889502762431,christian,10.385567481848064,10.384327155741406,44,43,18494,christian
ridge,augustinus,0.13211037296148267,0.15447101001385058,0.06502846180437892,0.13211037296148267,8,6,2,0.022099447513812154,christian,9.105244631049912,9.103703609994533,48,47,18490,christian
ridge,germen,0.12865418298676018,0.17425188540376327,0.07002856559347052,0.12865418298676018,32,18,14,0.08839779005524862,christian,8.865417380900972,8.86382003433157,49,48,18489,christian
ridge,lychnus,0.1263937973577825,0.15754837164618476,0.04850736163677678,0.1263937973577825,7,5,2,0.019337016574585635,christian,8.708567765098985,8.706933581034141,50,49,18488,christian
ridge,daps,0.12156842181927072,0.16619396086304156,0.09786110420226747,0.12156842181927072,49,17,32,0.13535911602209943,christian,8.373731846124318,8.372019022933863,52,51,18486,christian
ridge,antemnus,0.11914992572365773,0.1981209162579838,0.04017893518933169,0.11914992572365773,6,3,3,0.016574585635359115,christian,8.205910843127114,8.204158605715582,54,53,18484,christian
ridge,laurus,-0.05703311346767002,-0.02388440041408552,-0.0601901337584876,0.05703311346767002,46,4,42,0.1270718232044199,non_christian,-4.019543811034849,3.8928206463640613,91,18534,3,non_christian
ridge,exhaurio,-0.049322352249011187,-0.035736213070687084,-0.052259895855135303,0.049322352249011187,45,8,37,0.12430939226519337,non_christian,-3.484489119842847,3.3576402929277034,99,18533,4,non_christian
ridge,alnus,-0.04391332230396622,-0.029484025652052256,-0.04631820507928522,0.04391332230396622,14,2,12,0.03867403314917127,non_christian,-3.1091530453848555,2.982216067530601,106,18532,5,non_christian
ridge,fatum,-0.03149366857153383,-0.018497374855289034,-0.0334500998836567,0.03149366857153383,107,14,93,0.2955801104972376,non_christian,-2.2473452673878045,2.120205886486964,117,18531,6,non_christian
ridge,romanus,-0.002087794073890244,-0.0015074968553734983,-0.0022249552346305665,0.002087794073890244,136,26,110,0.3756906077348066,non_christian,-0.2068526814555315,0.07923407313707927,157,18528,9,non_christian
ridge,angustus,-0.0017066054414242877,-0.0013698311626412407,-0.001793917291479152,0.0017066054414242877,68,14,54,0.1878453038674033,non_christian,-0.18040175654082524,0.05277693599277328,159,18527,10,non_christian
ridge,pingo,-2.2017268382807937e-5,-1.7111937269715252e-5,-2.2998334605426475e-5,2.2017268382807937e-5,78,13,65,0.2154696132596685,non_christian,-0.06350709735577757,-0.06414517691890889,163,18526,11,non_christian
ridge,deus,0,0,0,0,238,66,172,0.6574585635359116,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,uir,0,0,0,0,223,56,167,0.6160220994475138,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,sequor,0,0,0,0,202,51,151,0.5580110497237569,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,summus,0,0,0,0,196,52,144,0.5414364640883977,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,genus,0,0,0,0,192,49,143,0.5303867403314917,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,sacer,0,0,0,0,166,54,112,0.4585635359116022,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,amicus,0,0,0,0,154,32,122,0.425414364640884,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,templum,0,0,0,0,129,37,92,0.356353591160221,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,mortalis,0,0,0,0,124,34,90,0.3425414364640884,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,inimicus,0,0,0,0,120,35,85,0.3314917127071823,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,aspicio,0,0,0,0,118,27,91,0.3259668508287293,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,seco,0,0,0,0,102,28,74,0.281767955801105,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,auis,0,0,0,0,86,16,70,0.23756906077348067,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,regno,0,0,0,0,85,28,57,0.23480662983425415,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,odi,0,0,0,0,83,19,64,0.2292817679558011,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,aeque,0,0,0,0,81,20,61,0.22375690607734808,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,miseria,0,0,0,0,47,9,38,0.1298342541436464,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,libens,0,0,0,0,46,18,28,0.1270718232044199,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,troia,0,0,0,0,45,2,43,0.12430939226519337,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,strenuus,0,0,0,0,30,8,22,0.08287292817679558,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,obliuiscor,0,0,0,0,23,6,17,0.06353591160220995,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,comminiscor,0,0,0,0,21,5,16,0.058011049723756904,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
ridge,anchises,0,0,0,0,13,3,10,0.03591160220994475,christian,-0.06197930491072715,-0.065673328179293,164,153,12,non_christian
svm_platt,christus,0.3166541586438754,0.336172142639419,0.20841806557767925,0.3166541586438754,72,61,11,0.19889502762430938,christian,57.43719880309609,63.884644285426326,1,1,18536,christian
svm_platt,ecclesia,0.10003263202316853,0.10553911536394137,0.041296809721591506,0.10003263202316853,35,32,3,0.09668508287292818,christian,18.12440883646474,19.83494911725725,2,2,18535,christian
svm_platt,dominus,0.08991768628478557,0.12338516068977742,0.0697165981304211,0.08991768628478557,178,67,111,0.49171270718232046,christian,16.288733760491425,17.778088548646753,3,3,18534,christian
svm_platt,sanctus,0.07975458252816113,0.10518365215474444,0.05977459925013135,0.07975458252816113,150,66,84,0.4143646408839779,christian,14.444318897268563,15.71143511200263,4,4,18533,christian
svm_platt,tortilis,0.07858484198178281,0.14104041959574956,0.016129264367816042,0.07858484198178281,4,2,2,0.011049723756906077,christian,14.232032680230946,15.473569950134237,5,5,18532,christian
svm_platt,angelus,0.07656077670353138,0.07924845886690486,0.022807133436061878,0.07656077670353138,42,40,2,0.11602209944751381,christian,13.86470236729314,15.061979006711683,6,6,18531,christian
svm_platt,christianus,0.06918948328951323,0.07144566727588732,0.03985909146665018,0.06918948328951323,28,26,2,0.07734806629834254,christian,12.526949308821212,13.563036436469481,8,8,18529,christian
svm_platt,abacus,0.0688801128342386,0.1571652998870558,0.010023321465693796,0.0688801128342386,5,2,3,0.013812154696132596,christian,12.470804308276607,13.50012637179827,10,10,18527,christian
svm_platt,codex,0.06478333511398995,0.08349540809380025,0.036715225644274485,0.06478333511398995,20,12,8,0.055248618784530384,christian,11.727315124313325,12.667052149841194,11,11,18526,christian
svm_platt,caro,0.0629253500569823,0.0797103637996922,0.04172322743461186,0.0629253500569823,86,48,38,0.23756906077348067,christian,11.390125291674137,12.289233395329761,12,12,18525,christian
