time,step,detail
2026-03-29 01:13:14,lgb_inner_fold,outer 3 candidate 1 of 8 fold 2 of 5
2026-03-29 01:13:14,lgb_inner_fold,outer 3 candidate 1 of 8 fold 3 of 5
2026-03-29 01:13:15,lgb_inner_fold,outer 3 candidate 1 of 8 fold 4 of 5
2026-03-29 01:13:15,lgb_inner_fold,outer 3 candidate 1 of 8 fold 5 of 5
2026-03-29 01:13:16,lgb_inner_fold,outer 3 candidate 2 of 8 fold 1 of 5
2026-03-29 01:13:16,lgb_inner_fold,outer 3 candidate 2 of 8 fold 2 of 5
2026-03-29 01:13:16,lgb_inner_fold,outer 3 candidate 2 of 8 fold 3 of 5
2026-03-29 01:13:16,lgb_inner_fold,outer 3 candidate 2 of 8 fold 4 of 5
2026-03-29 01:13:16,lgb_inner_fold,outer 3 candidate 2 of 8 fold 5 of 5
2026-03-29 01:13:17,lgb_inner_fold,outer 3 candidate 3 of 8 fold 1 of 5
2026-03-29 01:13:17,lgb_inner_fold,outer 3 candidate 3 of 8 fold 2 of 5
2026-03-29 01:13:17,lgb_inner_fold,outer 3 candidate 3 of 8 fold 3 of 5
2026-03-29 01:13:18,lgb_inner_fold,outer 3 candidate 3 of 8 fold 4 of 5
2026-03-29 01:13:18,lgb_inner_fold,outer 3 candidate 3 of 8 fold 5 of 5
2026-03-29 01:13:19,lgb_inner_fold,outer 3 candidate 4 of 8 fold 1 of 5
2026-03-29 01:13:19,lgb_inner_fold,outer 3 candidate 4 of 8 fold 2 of 5
2026-03-29 01:13:19,lgb_inner_fold,outer 3 candidate 4 of 8 fold 3 of 5
2026-03-29 01:13:19,lgb_inner_fold,outer 3 candidate 4 of 8 fold 4 of 5
2026-03-29 01:13:19,lgb_inner_fold,outer 3 candidate 4 of 8 fold 5 of 5
2026-03-29 01:13:20,lgb_inner_fold,outer 3 candidate 5 of 8 fold 1 of 5
2026-03-29 01:13:20,lgb_inner_fold,outer 3 candidate 5 of 8 fold 2 of 5
2026-03-29 01:13:20,lgb_inner_fold,outer 3 candidate 5 of 8 fold 3 of 5
2026-03-29 01:13:21,lgb_inner_fold,outer 3 candidate 5 of 8 fold 4 of 5
2026-03-29 01:13:21,lgb_inner_fold,outer 3 candidate 5 of 8 fold 5 of 5
2026-03-29 01:13:21,lgb_inner_fold,outer 3 candidate 6 of 8 fold 1 of 5
2026-03-29 01:13:22,lgb_inner_fold,outer 3 candidate 6 of 8 fold 2 of 5
2026-03-29 01:13:22,lgb_inner_fold,outer 3 candidate 6 of 8 fold 3 of 5
2026-03-29 01:13:22,lgb_inner_fold,outer 3 candidate 6 of 8 fold 4 of 5
2026-03-29 01:13:22,lgb_inner_fold,outer 3 candidate 6 of 8 fold 5 of 5
2026-03-29 01:13:22,lgb_inner_fold,outer 3 candidate 7 of 8 fold 1 of 5
